2023/01/13
左右2Vで空転させたときのログ
LPFなし
spd(*100000),encdiff,encang,0
257994,721,12297,0
258755,724,10852,0
274230,733,9386,0
261799,711,7966,0
247340,659,6593,0
251398,678,5198,0
259770,666,3817,0
257740,681,2434,0
248101,660,1056,0
257994,717,15978,0
240236,634,14688,0
264844,732,13224,0
264083,700,11797,0
256979,699,10422,0
273976,742,8971,0
264844,702,7537,0
257487,677,6226,0
259516,686,4854,0
266366,670,3479,0
260531,694,2117,0
274991,759,703,0
241505,623,15770,0
269410,731,14379,0
254696,672,13052,0
262053,703,11638,0
249623,682,10255,0
274484,742,8835,0
249623,640,7495,0
249623,651,6154,0
249623,650,4822,0
258755,664,3473,0
256218,665,2151,0
270171,696,776,0
254189,667,15810,0
244295,681,14460,0
263322,710,13051,0
256979,698,11644,0
258248,712,10227,0
264590,713,8791,0
257487,690,7392,0
254189,690,6017,0
257740,697,4631,0
255204,680,3263,0
263829,689,1892,0
266112,715,473,0
263321,693,15454,0
261799,711,14045,0
262814,725,12597,0
262560,713,11171,0
270425,734,9712,0
277528,758,8217,0
254443,674,6851,0
256726,696,5447,0
271693,720,4045,0
260277,717,2636,0
263322,691,1276,0
277020,728,16171,0
245310,644,14876,0
265351,735,13426,0
263068,718,11977,0
264590,718,10541,0
262053,717,9108,0
264336,708,7696,0
264083,698,6296,0
259009,668,4948,0
260024,707,3538,0
242520,633,2233,0
266112,730,785,0
264083,690,15772,0
260531,688,14467,0
251145,667,13031,0
264844,717,11667,0
268903,724,10237,0
258755,695,8819,0
249623,665,7472,0
254696,673,6123,0
264336,699,4741,0
256218,688,3381,0
254950,674,2073,0
271693,711,657,0
262307,683,15656,0
267888,703,14335,0
245056,625,12952,0
268903,740,11536,0
246578,624,10215,0
264844,727,8768,0
242520,638,7500,0
245564,652,6164,0
250384,651,4830,0
248101,650,3547,0
265351,695,2222,0
257994,658,895,0
258755,690,15963,0
252667,631,14700,0
259770,683,13310,0
249115,652,12024,0
263829,700,10623,0
251652,666,9280,0
253174,683,7936,0
257994,653,6626,0
248354,645,5308,0
250637,662,4008,0
260024,657,2724,0
262053,680,1375,0
260277,682,4,0
250384,646,15082,0
262814,673,13756,0
253682,693,12367,0
258248,711,10955,0
249876,653,9606,0
255711,678,8189,0
255965,681,6845,0
254443,665,5537,0
253935,651,4203,0
257741,663,2873,0
260024,677,1537,0
269664,685,149,0
261038,668,15199,0
256726,694,13824,0
270171,710,12414,0
262053,697,11016,0
265605,722,9575,0
262053,696,8167,0
256726,681,6794,0
271439,692,5415,0
247340,698,4019,0
261292,680,2655,0
260277,729,1237,0
259263,669,16228,0
271439,730,14825,0
259770,711,13404,0
265351,711,11978,0
261546,717,10557,0
259516,730,9097,0
259516,717,7663,0
256218,677,6289,0
274230,719,4895,0
260785,697,3502,0
255711,678,2124,0
270678,723,708,0
256726,693,15690,0
270425,712,14276,0
274991,730,12818,0
262560,713,11384,0
272708,736,9918,0
263575,723,8456,0
255457,701,7056,0
262560,693,5663,0
259263,721,4242,0
261546,700,2866,0
262053,701,1473,0
265858,721,50,0
262053,702,15017,0
274737,726,13576,0
264336,702,12144,0
269156,728,10717,0
270425,749,9200,0
258755,703,7788,0
259263,697,6388,0
267634,708,4985,0
264844,706,3558,0
265605,707,2153,0
266112,717,718,0
267634,717,15677,0
266619,725,14234,0
271947,742,12753,0
273469,726,11292,0
